请输入物体数目：请输入背包大小：请输入背包：
The max sum_value is: 
3113
The optimum solution is :
ID：434 价值：8.45455 重量: 5.94444
ID：434 价值：8.45455 重量: 5.94444
ID：434 价值：8.45455 重量: 5.94444
ID：434 价值：8.45455 重量: 5.94444
ID：434 价值：8.45455 重量: 5.94444
ID：434 价值：8.45455 重量: 5.94444
ID：434 价值：8.45455 重量: 5.94444
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：215 价值：7.92308 重量: 5.52632
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：185 价值：8.91667 重量: 6
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
ID：2 价值：3 重量: 2
